components,proportion_noise,ratio_white,dataset,model_type,result_filenumber,reconstruction_error,train_time
1,0.1,0.5,orl,l21,0,0.29481165923910835,10.52155
1,0.1,0.5,orl,l2,1,0.2947625911572315,8.56804
10,0.1,0.5,orl,l21,2,0.2098577452187722,8.334668
10,0.1,0.5,orl,l2,3,0.2092178612964193,6.640409
100,0.1,0.5,orl,l21,4,0.2450290107240958,14.715997
100,0.1,0.5,orl,l2,5,0.24503553654174234,11.14974
1,0.2,0.5,orl,l21,6,0.3000483694367892,10.63874
1,0.2,0.5,orl,l2,7,0.29979723093096045,8.839936
10,0.2,0.5,orl,l21,8,0.23202594976781468,8.484185
10,0.2,0.5,orl,l2,9,0.2304499820992849,6.568315
100,0.2,0.5,orl,l21,10,0.33689488698462555,14.736406
100,0.2,0.5,orl,l2,11,0.33808189562580243,11.265595
1,0.4,0.5,orl,l21,12,0.3183816631616402,10.851531
1,0.4,0.5,orl,l2,13,0.3187888135619849,9.213295
10,0.4,0.5,orl,l21,14,0.29886258543467925,8.675942
10,0.4,0.5,orl,l2,15,0.29677887236071276,6.607689
100,0.4,0.5,orl,l21,16,0.47091095486462453,15.126755
100,0.4,0.5,orl,l2,17,0.47755196501933445,11.343347
1,0.1,0.2,orl,l21,18,0.298790165832817,10.891531
1,0.1,0.2,orl,l2,19,0.29870394008680534,8.834617
10,0.1,0.2,orl,l21,20,0.21352887779481547,8.856541
10,0.1,0.2,orl,l2,21,0.21417814022902623,6.655238
100,0.1,0.2,orl,l21,22,0.23567666262228948,14.791827
100,0.1,0.2,orl,l2,23,0.2361010304055116,11.390346
1,0.2,0.2,orl,l21,24,0.3154596565770997,10.560018
1,0.2,0.2,orl,l2,25,0.3151357145599702,8.757428
10,0.2,0.2,orl,l21,26,0.249156675287623,8.580652
10,0.2,0.2,orl,l2,27,0.24708725845887988,6.687372
100,0.2,0.2,orl,l21,28,0.3269000857875772,14.974461
100,0.2,0.2,orl,l2,29,0.3284821554701086,11.719568
1,0.4,0.2,orl,l21,30,0.37213113425704053,10.673612
1,0.4,0.2,orl,l2,31,0.3721086161285444,8.833305
10,0.4,0.2,orl,l21,32,0.3456453000455756,8.710379
10,0.4,0.2,orl,l2,33,0.3447674530325905,6.643985
100,0.4,0.2,orl,l21,34,0.4712409294565999,16.108664
100,0.4,0.2,orl,l2,35,0.4743577942821493,12.163402
1,0.1,0.8,orl,l21,36,0.3040353059712954,10.686958
1,0.1,0.8,orl,l2,37,0.3038565701056009,8.860171
10,0.1,0.8,orl,l21,38,0.2222364775546275,8.812574
10,0.1,0.8,orl,l2,39,0.22249043146219835,6.75562
100,0.1,0.8,orl,l21,40,0.26541881403820705,18.077817
100,0.1,0.8,orl,l2,41,0.26733070414494825,12.615705
