,reconstruction_error,run,k
0,0.5283952796801369,0,1
1,0.5308710014085453,1,1
2,0.5305612725008239,2,1
3,0.5321392524473086,3,1
4,0.5312874367263879,4,1
5,0.21499265803811193,0,124
6,0.21608280215882397,1,124
7,0.21363863233290187,2,124
8,0.21175420326527253,3,124
9,0.214377884670869,4,124
10,0.18182473726195056,0,247
11,0.1816441344292099,1,247
12,0.18161066233860013,2,247
13,0.18090287987738063,3,247
14,0.1844163698074116,4,247
15,0.15410094559367757,0,370
16,0.1585959104705217,1,370
17,0.15953565208072365,2,370
18,0.15601059043109455,3,370
19,0.15576111773463122,4,370
20,0.1331610546286917,0,493
21,0.1385367950579738,1,493
22,0.13797208978866496,2,493
23,0.1332295845445863,3,493
24,0.13207696919127898,4,493
25,0.11612523851603972,0,617
26,0.11653255895074516,1,617
27,0.11522657054674237,2,617
28,0.11713078678882047,3,617
29,0.11667066568881283,4,617
30,0.07197108156522075,0,740
31,0.07345643660013397,1,740
32,0.07478240461775926,2,740
33,0.07220351525026641,3,740
34,0.09867471908760823,4,740
35,0.05594016513150392,0,863
36,0.056715211586096666,1,863
37,0.054689278384555624,2,863
38,0.05629561451846811,3,863
39,0.05542882670722028,4,863
40,0.037078214302328265,0,986
41,0.037995888770644255,1,986
42,0.03777230006677834,2,986
43,0.03806102772639547,3,986
44,0.037449344837776545,4,986
45,1.669048923111917e-07,0,1110
46,1.9396388998414234e-08,1,1110
47,1.1243151109286286e-06,2,1110
48,1.625157424024299e-08,3,1110
49,1.0960872241141667e-06,4,1110
