,reconstruction_error,run,iterations,k,noise
0,0.30758147883971265,0,14,1,Salt and Pepper p=0.1 r=0
1,0.30865996007365243,1,14,1,Salt and Pepper p=0.1 r=0
2,0.30814686998759877,2,14,1,Salt and Pepper p=0.1 r=0
3,0.3086850581268777,3,14,1,Salt and Pepper p=0.1 r=0
4,0.30962761616835394,4,14,1,Salt and Pepper p=0.1 r=0
5,0.29447718690598185,0,14,1,Salt and Pepper p=0.1 r=0.5
6,0.2961333165636282,1,14,1,Salt and Pepper p=0.1 r=0.5
7,0.29407751790667563,2,14,1,Salt and Pepper p=0.1 r=0.5
8,0.29530643289191644,3,14,1,Salt and Pepper p=0.1 r=0.5
9,0.2931098989648082,4,14,1,Salt and Pepper p=0.1 r=0.5
10,0.31685736825363114,0,14,1,Salt and Pepper p=0.1 r=1
11,0.31618740930236144,1,14,1,Salt and Pepper p=0.1 r=1
12,0.31720169868538767,2,14,1,Salt and Pepper p=0.1 r=1
13,0.3162800897519216,3,14,1,Salt and Pepper p=0.1 r=1
14,0.31672650423963455,4,14,1,Salt and Pepper p=0.1 r=1
15,0.41003268227506695,0,14,1,Salt and Pepper p=0.3 r=0
16,0.4099489977133874,1,14,1,Salt and Pepper p=0.3 r=0
17,0.41072406699968345,2,14,1,Salt and Pepper p=0.3 r=0
18,0.41090829830272574,3,14,1,Salt and Pepper p=0.3 r=0
19,0.410634046606164,4,14,1,Salt and Pepper p=0.3 r=0
20,0.30780375436232116,0,14,1,Salt and Pepper p=0.3 r=0.5
21,0.30827353920808714,1,14,1,Salt and Pepper p=0.3 r=0.5
22,0.30764454063754043,2,14,1,Salt and Pepper p=0.3 r=0.5
23,0.3081848898052207,3,14,1,Salt and Pepper p=0.3 r=0.5
24,0.3085385183140872,4,14,1,Salt and Pepper p=0.3 r=0.5
25,0.4635484684431516,0,14,1,Salt and Pepper p=0.3 r=1
26,0.462586585615462,1,14,1,Salt and Pepper p=0.3 r=1
27,0.463135046003985,2,14,1,Salt and Pepper p=0.3 r=1
28,0.46155618335618315,3,14,1,Salt and Pepper p=0.3 r=1
29,0.4624753936137634,4,14,1,Salt and Pepper p=0.3 r=1
30,0.5612537067278948,0,14,1,Salt and Pepper p=0.5 r=0
31,0.5615827274828289,1,14,1,Salt and Pepper p=0.5 r=0
32,0.5613939310791765,2,14,1,Salt and Pepper p=0.5 r=0
